feature,mean_positive_shap,mean_abs_shap,mean_signed_shap,positive_rank
Streptococcus_vestibularis,0.0003148531795696156,0.0007647412296891056,-0.00013503487054987432,150
Rothia_mucilaginosa,0.00030956214967688383,0.0006528548460583403,-3.373054670457282e-05,151
Roseburia_sp_CAG_471,0.0003074527632012031,0.0006214424206403221,-6.5368942379158715e-06,152
Prevotella_stercorea,0.0003005782661331571,0.0006759835509429192,-7.482701867660511e-05,153
Cloacibacillus_porcorum,0.00029756716224577795,0.00044233369920407284,0.00015280062528748293,154
Bacteroides_massiliensis,0.0002960330916758857,0.0005960917915590415,-4.0256082072701195e-06,155
Bacteroides_eggerthii,0.0002927951838991932,0.0005941384559478507,-8.548088149464165e-06,156
Eubacterium_sp_CAG_251,0.0002875510174981002,0.0005272543191034097,4.784771589279076e-05,157
Desulfovibrionaceae_bacterium,0.0002768399407601769,0.00041076572164750353,0.00014291415987285037,158
Clostridium_sp_CAG_58,0.0002699096169484201,0.0012187573428409679,-0.0006789381089441272,159
Clostridium_spiroforme,0.0002624780297560391,0.0005530118024881824,-2.8055742976103934e-05,160
Eisenbergiella_massiliensis,0.0002573813405537271,0.0004340629330409903,8.069974806646391e-05,161
Dorea_sp_CAG_317,0.00025525011938907756,0.0004735308744782865,3.6969364299868685e-05,162
Streptococcus_sp_A12,0.0002532410302020924,0.0004109718387791126,9.551022162507235e-05,163
Clostridium_sp_CAG_242,0.00025229735126768043,0.0005990956400253942,-9.450093749003349e-05,164
Bacteroides_faecis,0.00024720417333878256,0.0005396351928463234,-4.5226846168758424e-05,165
Dielma_fastidiosa,0.00024532178331677663,0.00048521414064745335,5.4294259861003184e-06,166
Clostridium_lavalense,0.00024391598557367227,0.0007646187797665825,-0.00027678680861923847,167
Veillonella_dispar,0.0002424154600086458,0.0006089423870276813,-0.00012411146701038953,168
Clostridium_bolteae_CAG_59,0.00023990891756898652,0.0005736690106353798,-9.385117549740671e-05,169
Alistipes_inops,0.0002302316193154099,0.000520590322791721,-6.012708416090121e-05,170
Paraprevotella_clara,0.00022328001814757222,0.00043983909595509026,6.7209403400540954e-06,171
Blautia_hydrogenotrophica,0.0002190725785314261,0.0005385609640347727,-0.00010041580697192024,172
Clostridium_asparagiforme,0.00021870881952863546,0.0005569195904753801,-0.00011950195141810903,173
Fusobacterium_mortiferum,0.00021743327959040864,0.0004665227904631494,-3.165623128233226e-05,174
Eubacterium_sp_CAG_180,0.00021207651811459838,0.0006748508233983692,-0.00025069778716917194,175
Streptococcus_infantis,0.0002094717918772342,0.0004664581835707662,-4.751459981629782e-05,176
Veillonella_infantium,0.00020751963510788328,0.00038336381113669905,3.1675459079067544e-05,177
Klebsiella_quasipneumoniae,0.00020407544552049703,0.0010220101246872363,-0.0006138592336462427,178
